Id	Anatomic Site Id	Anatomic Site	Classification Id	Classification
3		ABDOMINAL WALL	CL1	OTHER
4	S12	ADIPOSE	CL2	SOFT TISSUE
5	S80	ADRENAL	CL3	ENDOCRINE
6	S98	AMPULLA OF VATER	CL4	GASTROINTESTINAL
7	S6	ANUS	CL4	GASTROINTESTINAL
8	S6	ANY	CL1	OTHER
9	S60	APPENDIX	CL4	GASTROINTESTINAL
10	S10	ARM	CL5	NULL
11	S9	ARTERY	CL6	CARDIO VASCULAR
12	S26	BLADDER	CL7	GU
13	S22	BLOOD	CL8	HEM
14	S92	BONE	CL9	SKELETAL
15	S65	BONE MARROW	CL8	HEM
16	S31	BRAIN	CL10	CENTRAL NERVOUS SYSTEM
17	S16	BRAIN STEM	CL10	CENTRAL NERVOUS SYSTEM
18	S20	BREAST	CL11	BREAST
19	S63	BRONCHUS	CL12	RESPIRATORY
20	S33	CAROTID BODY	CL3	ENDOCRINE
21	S34	CARTILAGE	CL9	SKELETAL
22	S62	CERVIX	CL13	GYN
23	S62	CHEST WALL	CL9	SKELETAL
24	S67	COLON	CL4	GASTROINTESTINAL
25	S36	COLON - MUCOSA ONLY	CL4	GASTROINTESTINAL
26	S36	DESMOPLASTIC SMALL ROUND CELL TUMOR	CL2	SOFT TISSUE
27	S69	EFFUSION	CL1	OTHER
28	S69	ENDOMETRIOSIS	CL13	GYN
29	S53	EPIDIDYMIS	CL7	GU
30	S7	ESOPHAGUS	CL4	GASTROINTESTINAL
31	S58	EYE	CL14	HEAD/NECK
32	S93	FALLOPIAN TUBE	CL13	GYN
33	S93	FIBROID	CL13	GYN
34	S79	FLUID	CL1	OTHER
35	S44	FOOT	CL9	SKELETAL
36	S71	FORESKIN	CL7	GU
37	S30	GALLBLADDER	CL4	GASTROINTESTINAL
38	S29	GERM CELL TUMOR	CL15	OTHER-DEFINE
39	S29	GI TRACT	CL4	GASTROINTESTINAL
40	S3	HEART	CL6	CARDIO VASCULAR
41	S3	HEMANGIOMA	CL6	CARDIO VASCULAR
42	S3	HEMATOPOIETIC OR LYMPHORETICULAR SYSTEMS	CL8	HEM
43	S3	HISTIOCYTOMA	CL8	HEM
44	S3	INFECTION	CL16	OTHER-INFECT
45	S3	INFECTION-GASTROINTESTINAL TRACT	CL16	OTHER-INFECT
