Id	Anatomic Site Id	Anatomic Site	Classification
3		ABDOMINAL WALL	OTHER
4	S12	ADIPOSE	SOFT TISSUE
5	S80	ADRENAL	ENDOCRINE
6	S98	AMPULLA OF VATER	GASTROINTESTINAL
7	S6	ANUS	GASTROINTESTINAL
8	S6	ANY	OTHER
9	S60	APPENDIX	GASTROINTESTINAL
10	S10	ARM	NULL
11	S9	ARTERY	CARDIO VASCULAR
12	S26	BLADDER	GU
13	S22	BLOOD	HEM
14	S92	BONE	SKELETAL
15	S65	BONE MARROW	HEM
16	S31	BRAIN	CENTRAL NERVOUS SYSTEM
17	S16	BRAIN STEM	CENTRAL NERVOUS SYSTEM
18	S20	BREAST	BREAST
19	S63	BRONCHUS	RESPIRATORY
20	S33	CAROTID BODY	ENDOCRINE
21	S34	CARTILAGE	SKELETAL
22	S62	CERVIX	GYN
23	S62	CHEST WALL	SKELETAL
24	S67	COLON	GASTROINTESTINAL
25	S36	COLON - MUCOSA ONLY	GASTROINTESTINAL
26	S36	DESMOPLASTIC SMALL ROUND CELL TUMOR	SOFT TISSUE
27	S69	EFFUSION	OTHER
28	S69	ENDOMETRIOSIS	GYN
29	S53	EPIDIDYMIS	GU
30	S7	ESOPHAGUS	GASTROINTESTINAL
31	S58	EYE	HEAD/NECK
32	S93	FALLOPIAN TUBE	GYN
33	S93	FIBROID	GYN
34	S79	FLUID	OTHER
35	S44	FOOT	SKELETAL
36	S71	FORESKIN	GU
37	S30	GALLBLADDER	GASTROINTESTINAL
38	S29	GERM CELL TUMOR	OTHER-DEFINE
39	S29	GI TRACT	GASTROINTESTINAL
40	S3	HEART	CARDIO VASCULAR
41	S3	HEMANGIOMA	CARDIO VASCULAR
42	S3	HEMATOPOIETIC OR LYMPHORETICULAR SYSTEMS	HEM
43	S3	HISTIOCYTOMA	HEM
44	S3	INFECTION	OTHER-INFECT
45	S3	INFECTION-GASTROINTESTINAL TRACT	OTHER-INFECT
46	S3	INFLAMMATORY-NON-INFECTIOUS	OTHER-INFECT
47	S3	INFLAMMATORY-NOT SPECIFIED BY ETIOLOGY	OTHER-INFECT
48	S82	KIDNEY	GU
49	S84	LARYNX	HEAD/NECK
50	S13	LEG	SKELETAL
51	S13	LEUKEMIA	HEM
52	S91	LIPOMA	SOFT TISSUE
53	S91	LITHS	OTHER-UNKNOWN
54	S39	LIVER	GASTROINTESTINAL
55	S94	LUNG	RESPIRATORY
56	S94	LUPUS	OTHER
57	S57	LYMPH NODE	HEM
58	S57	LYMPHANGIOMA	HEM
59	S57	LYMPHOMA	HEM
60	S8	MEDIASTINUM	RESPIRATORY
61	S8	MELANOMA	SKIN
62	S8	MESOTHELIOMA	SOFT TISSUE
63	S61	MESOTHELIUM	SOFT TISSUE
64	S61	MULTIPLE MYELOMA	HEM
65	S61	MUSCLE	SOFT TISSUE
66	S61	MUSCLE SMOOTH	SOFT TISSUE
67	S72	NASOPHARYNX	HEAD/NECK
68	S74	NERVE	CENTRAL NERVOUS SYSTEM
69	S74	NEUROECTODERMAL	CENTRAL NERVOUS SYSTEM
70	S74	NEUROECTODERMAL/NEURAL	CENTRAL NERVOUS SYSTEM
71	S74	NEUROENDOCRINE	ENDOCRINE
72	S74	NEUROLEMMOMA/SCHWANNOMA	CENTRAL NERVOUS SYSTEM
73	S19	OMENTUM	SOFT TISSUE
74	S51	ORAL CAVITY	HEAD/NECK
75	S86	ORAL CAVITY - MUCOSA ONLY	HEAD/NECK
76	S35	OVARY	GYN
77	S24	PANCREAS	GASTROINTESTINAL
78	S15	PARATHYROID	ENDOCRINE
79	S28	PENIS	GU
80	S28	PERICARDIUM	SOFT TISSUE
81	S45	PERITONEUM	SOFT TISSUE
82	S17	PINEAL GLAND	SOFT TISSUE
83	S49	PITUITARY GLAND	ENDOCRINE
84	S27	PLACENTA	GYN
85	S27	PLASMACYTOMA	HEM
86	S47	PLEURA	SOFT TISSUE
87	S14	PROSTATE	GU
88	S64	RECTUM	GASTROINTESTINAL
89	S97	SALIVARY GLAND	HEAD/NECK
90	S97	SARCOIDOSIS	OTHER
91	S97	SARCOMA	SOFT TISSUE
92	S59	SEMINAL VESICLE	GU
93	S66	SINUS	HEAD/NECK
94	S38	SKELETAL MUSCLE	SOFT TISSUE
95	S1	SKIN	SKIN
96	S76	SMALL BOWEL	GASTROINTESTINAL
97	S40	SMALL BOWEL - MUCOSA ONLY	GASTROINTESTINAL
98	S2	SOFT TISSUE	SOFT TISSUE
99	S99	SPINAL CORD	CENTRAL NERVOUS SYSTEM
100	S50	SPLEEN	HEM
101	S100	STOMACH	GASTROINTESTINAL
102	S48	STOMACH - MUCOSA ONLY	GASTROINTESTINAL
103	S48	STRUCTURAL-MECHANICAL-ETIOLOGY NOT SPECIFIED	OTHER-UNKNOWN
104	S48	SYNDROMES NOT WELL CATEGORIZED	OTHER-UNKNOWN
105	S41	SYNOVIUM	SOFT TISSUE
106	S55	TENDON	SOFT TISSUE
107	S42	TESTIS	GU
108	S85	THYMUS	HEM
109	S73	THYROID	ENDOCRINE
110	S73	TMA BLOCK	OTHER-UNKNOWN
111	S54	TONSIL	HEAD/NECK
113	S54	TONSIL - PHARYNGEAL	HEAD/NECK
112	S21	TONSIL (PHARYNGEAL)	HEAD/NECK
114	S21	TRACHEA	RESPIRATORY
115	S21	TRACHEA - MAJOR BRONCHI	RESPIRATORY
116	S46	TRANSPLANT RELATED	OTHER
117	S75	UMBILICAL CORD	GYN
118	S75	UNKNOWN	OTHER-UNKNOWN
119	S11	URETER	GU
120	S68	URINARY TRACT	GU
121	S68	URINE	GU
122	S70	UTERUS	GYN
123	S70	UTERUS-TROPHOBLASTIC	GYN
124	S95	VAGINA	GYN
125	S25	VASCULAR MALFORMATION	CARDIO VASCULAR
126	S88	VEIN	CARDIO VASCULAR
127	S32	VERTEBRA	SKELETAL
128	S78	VULVA	GYN
